liveness,tempo,energy,analysis_url,speechiness,mode,instrumentalness,key,duration_ms,id,name,popularity,uri,acousticness,track_href,time_signature,loudness,valence,type,danceability
0.189,95.261,0.721,https://api.spotify.com/v1/audio-analysis/3AhXZa8sUQht0UEdBJgpGc,0.032,1,0,0,369600,3AhXZa8sUQht0UEdBJgpGc,Like a Rolling Stone,70,spotify:track:3AhXZa8sUQht0UEdBJgpGc,0.729,https://api.spotify.com/v1/tracks/3AhXZa8sUQht0UEdBJgpGc,4,-6.836,0.562,audio_features,0.483
0.0762,133.415,0.633,https://api.spotify.com/v1/audio-analysis/7FFgS5hHhIril5oArGVlhY,0.0321,1,0.586,10,246643,7FFgS5hHhIril5oArGVlhY,Gallipoli,63,spotify:track:7FFgS5hHhIril5oArGVlhY,0.436,https://api.spotify.com/v1/tracks/7FFgS5hHhIril5oArGVlhY,3,-7.245,0.358,audio_features,0.506
0.205,96.67,0.706,https://api.spotify.com/v1/audio-analysis/4YA7nxDtAVE2R1Eryx7uRu,0.231,0,0,5,245373,4YA7nxDtAVE2R1Eryx7uRu,Always On Time,60,spotify:track:4YA7nxDtAVE2R1Eryx7uRu,0.19,https://api.spotify.com/v1/tracks/4YA7nxDtAVE2R1Eryx7uRu,4,-6.119,0.857,audio_features,0.839
0.0793,98.421,0.424,https://api.spotify.com/v1/audio-analysis/1WhxsTVjptKEv4vqHspo2t,0.0834,0,0.0132,6,471507,1WhxsTVjptKEv4vqHspo2t,Why Did You Do It - One Two Jazz Mix,38,spotify:track:1WhxsTVjptKEv4vqHspo2t,0.0137,https://api.spotify.com/v1/tracks/1WhxsTVjptKEv4vqHspo2t,4,-13.352,0.88,audio_features,0.797
0.225,122.011,0.862,https://api.spotify.com/v1/audio-analysis/5mr06ofu0NYuw3XpiokMct,0.0776,1,0.0363,8,246970,5mr06ofu0NYuw3XpiokMct,Fake ID,66,spotify:track:5mr06ofu0NYuw3XpiokMct,0.21,https://api.spotify.com/v1/tracks/5mr06ofu0NYuw3XpiokMct,4,-6.11,0.604,audio_features,0.746
0.248,103.036,0.751,https://api.spotify.com/v1/audio-analysis/0hKF8N8aflF1uDzEEnPr2j,0.0346,1,8.36e-06,5,266560,0hKF8N8aflF1uDzEEnPr2j,Life Is A Highway,64,spotify:track:0hKF8N8aflF1uDzEEnPr2j,0.0681,https://api.spotify.com/v1/tracks/0hKF8N8aflF1uDzEEnPr2j,4,-10.184,0.841,audio_features,0.683
0.112,88.038,0.559,https://api.spotify.com/v1/audio-analysis/5u03lOJPE3Xxen9jqRChLP,0.046,0,2.11e-06,0,261835,5u03lOJPE3Xxen9jqRChLP,Snow White,65,spotify:track:5u03lOJPE3Xxen9jqRChLP,0.195,https://api.spotify.com/v1/tracks/5u03lOJPE3Xxen9jqRChLP,4,-7.955,0.199,audio_features,0.782
0.121,149.893,0.719,https://api.spotify.com/v1/audio-analysis/4K8FRK7g5qE4XTdnedLUCw,0.0477,0,0,5,204592,4K8FRK7g5qE4XTdnedLUCw,Ducks,31,spotify:track:4K8FRK7g5qE4XTdnedLUCw,0.0979,https://api.spotify.com/v1/tracks/4K8FRK7g5qE4XTdnedLUCw,4,-4.316,0.82,audio_features,0.696
0.179,104.067,0.813,https://api.spotify.com/v1/audio-analysis/6vONvU7cumly3QKiaBe2n8,0.0512,0,2.19e-06,4,397000,6vONvU7cumly3QKiaBe2n8,Mandela,15,spotify:track:6vONvU7cumly3QKiaBe2n8,0.12,https://api.spotify.com/v1/tracks/6vONvU7cumly3QKiaBe2n8,4,-5.603,0.746,audio_features,0.644
0.317,125.991,0.968,https://api.spotify.com/v1/audio-analysis/7uObfbegIGow74NAVBCnRV,0.056,0,0.209,8,157024,7uObfbegIGow74NAVBCnRV,Anthem (We Love House Music),67,spotify:track:7uObfbegIGow74NAVBCnRV,0.0778,https://api.spotify.com/v1/tracks/7uObfbegIGow74NAVBCnRV,4,-2.515,0.399,audio_features,0.67
0.115,103.968,0.767,https://api.spotify.com/v1/audio-analysis/52LnBX83fvrNcG4ZMEYiHg,0.186,0,0,3,149238,52LnBX83fvrNcG4ZMEYiHg,Yamen Yasar,23,spotify:track:52LnBX83fvrNcG4ZMEYiHg,0.43,https://api.spotify.com/v1/tracks/52LnBX83fvrNcG4ZMEYiHg,4,-2.073,0.89,audio_features,0.784
0.378,153.979,0.746,https://api.spotify.com/v1/audio-analysis/7HsQIXxED04mqTa1Y26Xtz,0.0523,0,0.00142,11,155120,7HsQIXxED04mqTa1Y26Xtz,TDAH,23,spotify:track:7HsQIXxED04mqTa1Y26Xtz,0.268,https://api.spotify.com/v1/tracks/7HsQIXxED04mqTa1Y26Xtz,4,-6.424,0.908,audio_features,0.608
0.181,101.959,0.334,https://api.spotify.com/v1/audio-analysis/1y7MwYVz214Z3xJTrJUKzF,0.0352,0,0,7,191471,1y7MwYVz214Z3xJTrJUKzF,Suit & Tie,30,spotify:track:1y7MwYVz214Z3xJTrJUKzF,0.519,https://api.spotify.com/v1/tracks/1y7MwYVz214Z3xJTrJUKzF,4,-9.982,0.74,audio_features,0.693
